ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,REGION,PROVINCE,CITY,BRGY,PSGC
79,Centrio,Ayala Land,8.4850078,124.6512041,,Wikipedia,Google Maps,16/02/2020,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital),Bulua,PH104305003
80,Centris Station,Eton Properties,14.6433868,121.0391004,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Bahay Toro,PH137404012
81,Centris Walk,,14.6426298,121.0400026,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Paligsahan,PH137404075
82,Centro Mall Cabuyao,,14.2423729,121.1312288,,Wikipedia,Google Maps,16/02/2020,REGION IV-A (CALABARZON),LAGUNA,CABUYAO CITY,Pulo,PH043404013
83,Centroplex Mall,,10.6679845,122.9481114,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),CAPIZ,ROXAS CITY (Capital),Baybay,PH061914019
84,Century City Mall,Century Properties,14.565466,121.027665,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,Alabang,PH137603001
85,Checkpoint Mall,,14.21873,121.1407199,,Wikipedia,Google Maps,16/02/2020,REGION IV-A (CALABARZON),LAGUNA,CITY OF CALAMBA,Paciano Rizal,PH043405033
86,Chimes Mall,Felcris Corp.,14.6729066,121.0618391,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL NORTE,CITY OF TAGUM (Capital),Visayan Village,PH112319022
87,Cindys Plaza Tarlac,,15.4931797,120.5683096,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),Tibag,PH036916088
88,Circle C Center,,14.6710674,121.0379341,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Batasan Hills,PH137404139
89,Circuit Lane,,14.575121,121.0196417,ChIJ0xHWH6XJlzMRPE0EFeeZIcM,Google Maps,Google Maps,5/2/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Carmona,PH137602005
90,City Mall Anabu,,14.39796,120.94005,608jx7ps-a283e609b7be0c45b32a0f12e1c3e66f,Here WeGo,Here WeGo,5/2/2020,REGION IV-A (CALABARZON),CAVITE,IMUS CITY,Anabu I-C,PH042109030
91,CityMall Aparri,"DoubleDragon Properties, SM Investments Corporation",18.3521156,121.6401144,,Wikipedia,Google Maps,16/02/2020,REGION II (CAGAYAN VALLEY),CAGAYAN,APARRI,Macanaya (Pescaria),PH021505029
92,CityMall Arnaldo-Roxas,DoubleDragon Properties,11.5922239,122.7520533,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),AKLAN,MALAY,Balabag,PH060412002
