,ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,REGION,PROVINCE,CITY,BRGY,PSGC,loc
70,693,C&B Circle Mall,,14.650231,121.116476,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Pinyahan,PH137404082,14.650231121.116476
71,246,C&S Shopping Complex Tarlac,,15.4900354,120.589652,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),Mabini,PH036916046,15.4900354120.589652
72,15,Carmel Mall,,14.2132294,121.1103539,ChIJe4hy_kpjvTMRaJcIiMTnXY4,Google Maps,Google Maps,05/02/2020,REGION IV-A (CALABARZON),LAGUNA,CITY OF CALAMBA,Canlubang,PH043405011,14.2132294121.1103539
73,13,Carolina Mall,,14.191624,121.16680900000001,ChIJTfsbIt5jvTMRKcUA_Ze7VAM,Google Maps,Google Maps,05/02/2020,REGION IV-A (CALABARZON),LAGUNA,CITY OF CALAMBA,Bucal,PH043405006,14.191624121.16680900000001
74,586,Cash & Carry Mall,,14.558579,121.0060794,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Pinyahan,PH137404082,14.558579121.0060794
75,424,CB Mall,CBE Estrada Group of Companies,15.971331099999999,120.5709168,,Wikipedia,Google Maps,16/02/2020,REGION I (ILOCOS REGION),PANGASINAN,DAGUPAN CITY,Lucao,PH015518017,15.971331099999999120.5709168
76,308,Cebu Boardwalk Mall,KMC MAG Group,10.208515,123.76110829999999,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Pahina Central (Pob.),PH072217050,10.208515123.76110829999999
77,366,Cedar Peak Mall,,16.4145856,120.5970946,,Wikipedia,Google Maps,16/02/2020,CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,BAGUIO CITY,San Luis Village,PH141102097,16.4145856120.5970946
78,376,Center Point Plaza,New City Commercial Corp.,7.0586901,125.56928049999999,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Pasong Tamo,PH137404080,7.0586901125.56928049999999
79,102,Central Plaza Mall,,14.1200405,122.94723229999998,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES NORTE,DAET (Capital),Lag-On,PH051603015,14.1200405122.94723229999998
80,450,Centrio,Ayala Land,8.4850078,124.6512041,,Wikipedia,Google Maps,16/02/2020,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital),Bulua,PH104305003,8.4850078124.6512041
81,587,Centris Station,Eton Properties,14.643386800000002,121.0391004,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Bahay Toro,PH137404012,14.643386800000002121.0391004
82,694,Centris Walk,,14.642629800000002,121.04000259999998,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Paligsahan,PH137404075,14.642629800000002121.04000259999998
83,180,Centro Mall Cabuyao,,14.2423729,121.13122879999999,,Wikipedia,Google Maps,16/02/2020,REGION IV-A (CALABARZON),LAGUNA,CABUYAO CITY,Pulo,PH043404013,14.2423729121.13122879999999
84,497,Centroplex Mall,,10.6679845,122.9481114,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),CAPIZ,ROXAS CITY (Capital),Baybay,PH061914019,10.6679845122.9481114
85,673,Century City Mall,Century Properties,14.565466,121.02766499999998,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,Alabang,PH137603001,14.565466121.02766499999998
86,181,Checkpoint Mall,,14.218729999999999,121.14071990000001,,Wikipedia,Google Maps,16/02/2020,REGION IV-A (CALABARZON),LAGUNA,CITY OF CALAMBA,Paciano Rizal,PH043405033,14.218729999999999121.14071990000001
87,377,Chimes Mall,Felcris Corp.,14.6729066,121.06183909999999,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL NORTE,CITY OF TAGUM (Capital),Visayan Village,PH112319022,14.6729066121.06183909999999
88,247,Cindys Plaza Tarlac,,15.493179699999999,120.56830959999999,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),Tibag,PH036916088,15.493179699999999120.56830959999999
89,588,Circle C Center,,14.6710674,121.0379341,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Batasan Hills,PH137404139,14.6710674121.0379341
90,46,Circuit Lane,,14.575121,121.01964170000001,ChIJ0xHWH6XJlzMRPE0EFeeZIcM,Google Maps,Google Maps,05/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Carmona,PH137602005,14.575121121.01964170000001
91,26,City Mall Anabu,,14.397960000000001,120.94005,608jx7ps-a283e609b7be0c45b32a0f12e1c3e66f,Here WeGo,Here WeGo,05/02/2020,REGION IV-A (CALABARZON),CAVITE,IMUS CITY,Anabu I-C,PH042109030,14.397960000000001120.94005
92,168,CityMall Aparri,"DoubleDragon Properties, SM Investments Corporation",18.3521156,121.64011440000002,,Wikipedia,Google Maps,16/02/2020,REGION II (CAGAYAN VALLEY),CAGAYAN,APARRI,Macanaya (Pescaria),PH021505029,18.3521156121.64011440000002
93,498,CityMall Arnaldo-Roxas,DoubleDragon Properties,11.5922239,122.7520533,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),AKLAN,MALAY,Balabag,PH060412002,11.5922239122.7520533
